type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
type, no_of_threads, member_operations, insert_operations, delete_operations, time_interval
RWLOCK, 8, 9900, 50, 50, 16167
RWLOCK, 8, 9900, 50, 50, 16726
RWLOCK, 8, 9900, 50, 50, 14331
RWLOCK, 8, 9900, 50, 50, 14541
RWLOCK, 8, 9900, 50, 50, 10275
RWLOCK, 8, 9900, 50, 50, 7678
RWLOCK, 8, 9900, 50, 50, 9039
RWLOCK, 8, 9900, 50, 50, 9334
RWLOCK, 8, 9900, 50, 50, 14085
RWLOCK, 8, 9900, 50, 50, 18257
RWLOCK, 8, 9900, 50, 50, 13890
RWLOCK, 8, 9900, 50, 50, 12409
RWLOCK, 8, 9900, 50, 50, 14300
RWLOCK, 8, 9900, 50, 50, 14696
RWLOCK, 8, 9900, 50, 50, 14554
RWLOCK, 8, 9900, 50, 50, 16877
RWLOCK, 8, 9900, 50, 50, 13924
RWLOCK, 8, 9900, 50, 50, 15012
RWLOCK, 8, 9900, 50, 50, 10700
RWLOCK, 8, 9900, 50, 50, 8902
RWLOCK, 8, 9900, 50, 50, 8012
RWLOCK, 8, 9900, 50, 50, 5478
RWLOCK, 8, 9900, 50, 50, 6690
RWLOCK, 8, 9900, 50, 50, 39966
RWLOCK, 8, 9900, 50, 50, 7247
RWLOCK, 8, 9900, 50, 50, 6785
RWLOCK, 8, 9900, 50, 50, 7040
RWLOCK, 8, 9900, 50, 50, 7631
RWLOCK, 8, 9900, 50, 50, 7326
RWLOCK, 8, 9900, 50, 50, 6794
RWLOCK, 8, 9900, 50, 50, 8476
RWLOCK, 8, 9900, 50, 50, 6961
RWLOCK, 8, 9900, 50, 50, 7850
RWLOCK, 8, 9900, 50, 50, 6840
RWLOCK, 8, 9900, 50, 50, 8694
RWLOCK, 8, 9900, 50, 50, 7773
RWLOCK, 8, 9900, 50, 50, 6488
RWLOCK, 8, 9900, 50, 50, 9150
RWLOCK, 8, 9900, 50, 50, 7898
RWLOCK, 8, 9900, 50, 50, 8237
RWLOCK, 8, 9900, 50, 50, 6889
RWLOCK, 8, 9900, 50, 50, 8342
RWLOCK, 8, 9900, 50, 50, 6471
RWLOCK, 8, 9900, 50, 50, 6292
RWLOCK, 8, 9900, 50, 50, 7187
RWLOCK, 8, 9900, 50, 50, 7195
RWLOCK, 8, 9900, 50, 50, 6664
RWLOCK, 8, 9900, 50, 50, 5774
RWLOCK, 8, 9900, 50, 50, 6826
RWLOCK, 8, 9900, 50, 50, 7019
RWLOCK, 8, 9900, 50, 50, 7547
RWLOCK, 8, 9900, 50, 50, 7180
RWLOCK, 8, 9900, 50, 50, 6978
RWLOCK, 8, 9900, 50, 50, 8760
RWLOCK, 8, 9900, 50, 50, 8182
RWLOCK, 8, 9900, 50, 50, 13771
RWLOCK, 8, 9900, 50, 50, 13864
RWLOCK, 8, 9900, 50, 50, 12872
RWLOCK, 8, 9900, 50, 50, 13947
RWLOCK, 8, 9900, 50, 50, 13812
RWLOCK, 8, 9900, 50, 50, 48765
RWLOCK, 8, 9900, 50, 50, 12364
RWLOCK, 8, 9900, 50, 50, 10562
